 INDIV ,species,Locality,WT,SVL,TL,Trial1,Trial2,BASE,INJ #,TTX DOSE,POST TIME,POST/BASE,ml of Dilution,dilution,,50% MAMU,,
11.017,T. couchii,"NF Mokelumne R, CA",23.4,240,318,0.991,0.917,0.954 ,5MU,0.00167193,5.474,17.43%,,0.033,0.05,,,
11.018,T. couchii,"NF Mokelumne R, CA",24.7,254,340,0.804,0.801,0.803 ,10MU,0.00352963,15.448,5.19%,,0.071,0.05,2.47,,
11.018,T. couchii,"NF Mokelumne R, CA",24.7,254,340,0.804,0.801,0.803 ,1MU,0.000352963,1.124,71.40%,,0.071,0.005,,,
11.018,T. couchii,"NF Mokelumne R, CA",24.7,254,340,0.804,0.801,0.803 ,5MU,0.001764815,5.967,13.45%,,0.035,0.05,,,
,,,,,,,,,,,,,,,,,,
INDIV,species,Locality,WT,SVL,TL, Trial1 , Trial2 ,BASE,INJ #,TTX DOSE(mg),POST TIME,POST/BASE,1 MU/g,ml of Dilution,dilution,,,
12.020,T. couchii,"N Fork Mokelumne, CA",35.8,,,0.523,0.71,0.617 ,1MU,0.000511582,0.646,95.43%,0.00001429,0.102,0.005,CRF 2335,13.9,
12.020,T. couchii,"N Fork Mokelumne, CA",35.8,,,0.523,0.71,0.617 ,3MU,0.001534746,0.68,90.66%,,0.031,0.05,CRF 2335,,
12.020,T. couchii,"N Fork Mokelumne, CA",35.8,,,0.523,0.71,0.617 ,5MU,0.00255791,1.368,45.07%,,0.051,0.05,CRF 2335,,
12.020,T. couchii,"N Fork Mokelumne, CA",35.8,,,0.523,0.71,0.617 ,10MU,0.00511582,1.061,58.11%,,0.102,0.05,CRF 2335,,
12.020,T. couchii,"N Fork Mokelumne, CA",35.8,,,0.523,0.71,0.617 ,25MU,0.01278955,2.256,27.33%,,0.128,0.1,CRF 2335,,
12.021,T. couchii,"N Fork Mokelumne, CA",4.9,,,1.112,1.021,1.067 ,1MU,0.000070021,0.891,119.70%,,0.014,0.005,CRF 2336,>50,
12.021,T. couchii,"N Fork Mokelumne, CA",4.9,,,1.112,1.021,1.067 ,3MU,0.000210063,1.174,90.84%,,0.042,0.005,CRF 2336,,
12.021,T. couchii,"N Fork Mokelumne, CA",4.9,,,1.112,1.021,1.067 ,5MU,0.000350105,1.196,89.17%,,0.070,0.005,CRF 2336,,
12.021,T. couchii,"N Fork Mokelumne, CA",4.9,,,1.112,1.021,1.067 ,10MU,0.00070021,1.147,92.98%,,0.140,0.005,CRF 2336,,
12.021,T. couchii,"N Fork Mokelumne, CA",4.9,,,1.112,1.021,1.067 ,25MU,0.001750525,1.021,104.46%,,0.035,0.05,CRF 2336,,
12.021,T. couchii,"N Fork Mokelumne, CA",4.9,,,1.112,1.021,1.067 ,50MU,0.00350105,1.887,56.52%,,0.070,0.05,CRF 2336,,
12.022,T. couchii,"N Fork Mokelumne, CA",5.1,,,0.983,1.1,1.042 ,1MU,0.000072879,1.095,95.11%,,0.015,0.005,CRF 2337,>50,
12.022,T. couchii,"N Fork Mokelumne, CA",5.1,,,0.983,1.1,1.042 ,3MU,0.000218637,1.219,85.44%,,0.044,0.005,CRF 2337,,
12.022,T. couchii,"N Fork Mokelumne, CA",5.1,,,0.983,1.1,1.042 ,5MU,0.000364395,0.947,109.98%,,0.073,0.005,CRF 2337,,
12.022,T. couchii,"N Fork Mokelumne, CA",5.1,,,0.983,1.1,1.042 ,10MU,0.00072879,1.413,73.71%,,0.146,0.005,CRF 2337,,
12.022,T. couchii,"N Fork Mokelumne, CA",5.1,,,0.983,1.1,1.042 ,25MU,0.001821975,1.725,60.38%,,0.036,0.05,CRF 2337,,
12.022,T. couchii,"N Fork Mokelumne, CA",5.1,,,0.983,1.1,1.042 ,50MU,0.00364395,1.716,60.69%,,0.073,0.05,CRF 2337,,
12.023,T. couchii,"N Fork Mokelumne, CA",5.4,,,0.845,0.976,0.911 ,1MU,0.000077166,1.166,78.09%,,0.015,0.005,CRF 2338,15,
12.023,T. couchii,"N Fork Mokelumne, CA",5.4,,,0.845,0.976,0.911 ,3MU,0.000231498,1.328,68.56%,,0.046,0.005,CRF 2338,,
12.023,T. couchii,"N Fork Mokelumne, CA",5.4,,,0.845,0.976,0.911 ,5MU,0.00038583,1.257,72.43%,,0.077,0.005,CRF 2338,,
12.023,T. couchii,"N Fork Mokelumne, CA",5.4,,,0.845,0.976,0.911 ,10MU,0.00077166,1.679,54.23%,,0.154,0.005,CRF 2338,,
12.023,T. couchii,"N Fork Mokelumne, CA",5.4,,,0.845,0.976,0.911 ,25MU,0.00192915,2.18,41.77%,,0.039,0.05,CRF 2338,,
12.024,T. couchii,"N Fork Mokelumne, CA",4.9,,,0.92,0.769,0.845 ,1MU,0.000070021,1.028,82.15%,,0.014,0.005,CRF 2339,No data,
12.024,T. couchii,"N Fork Mokelumne, CA",4.9,,,0.92,0.769,0.845 ,3MU,0.000210063,1.067,79.15%,,0.042,0.005,CRF 2339,,
12.024,T. couchii,"N Fork Mokelumne, CA",4.9,,,0.92,0.769,0.845 ,5MU,0.000350105,1.436,58.81%,,0.070,0.005,CRF 2339,,
12.024,T. couchii,"N Fork Mokelumne, CA",4.9,,,0.92,0.769,0.845 ,10MU,0.00070021,,#DIV/0!,,0.140,0.005,CRF 2339,,
12.024,T. couchii,"N Fork Mokelumne, CA",4.9,,,0.92,0.769,0.845 ,25MU,0.001750525,,#DIV/0!,,0.035,0.05,CRF 2339,,
12.025,T. couchii,"N Fork Mokelumne, CA",50.6,,,0.558,0.53,0.544 ,1MU,0.000723074,0.658,82.67%,,0.145,0.005,CRF 2340,15.8,
12.025,T. couchii,"N Fork Mokelumne, CA",50.6,,,0.558,0.53,0.544 ,3MU,0.002169222,,#DIV/0!,,0.043,0.05,CRF 2340,,
12.025,T. couchii,"N Fork Mokelumne, CA",50.6,,,0.558,0.53,0.544 ,5MU,0.00361537,1.699,32.02%,,0.072,0.05,CRF 2340,,
12.025,T. couchii,"N Fork Mokelumne, CA",50.6,,,0.558,0.53,0.544 ,10MU,0.00723074,0.981,55.45%,,0.145,0.05,CRF 2340,,
12.025,T. couchii,"N Fork Mokelumne, CA",50.6,,,0.558,0.53,0.544 ,25MU,0.01807685,1.308,41.59%,,0.181,0.1,CRF 2340,,
12.026,T. couchii,"N Fork Feather, CA",5.5,,,0.912,1.052,0.982 ,1MU,0.000078595,1.279,76.78%,,0.016,0.005,CRF 2341,4.73,
12.026,T. couchii,"N Fork Feather, CA",5.5,,,0.912,1.052,0.982 ,3MU,0.000235785,1.485,66.13%,,0.047,0.005,CRF 2341,,
12.026,T. couchii,"N Fork Feather, CA",5.5,,,0.912,1.052,0.982 ,5MU,0.000392975,2.068,47.49%,,0.079,0.005,CRF 2341,,
12.026,T. couchii,"N Fork Feather, CA",5.5,,,0.912,1.052,0.982 ,10MU,0.00078595,3.199,30.70%,,0.157,0.005,CRF 2341,,
12.027,T. couchii,"N Fork Feather, CA",6.2,,,1.027,0.777,0.902 ,1MU,0.000088598,0.935,96.47%,,0.018,0.005,CRF 2342,6.38,
12.027,T. couchii,"N Fork Feather, CA",6.2,,,1.027,0.777,0.902 ,3MU,0.000265794,1.324,68.13%,,0.053,0.005,CRF 2342,,
12.027,T. couchii,"N Fork Feather, CA",6.2,,,1.027,0.777,0.902 ,5MU,0.00044299,1.437,62.77%,,0.089,0.005,CRF 2342,,
12.027,T. couchii,"N Fork Feather, CA",6.2,,,1.027,0.777,0.902 ,10MU,0.00088598,5.395,16.72%,,0.177,0.005,CRF 2342,,
12.030,T. couchii,"N Fork Mokelumne, CA",5.9,,,0.86,0.835,0.848 ,1MU,0.000084311,0.971,87.28%,,0.017,0.005,CRF 2346,7.3,
12.030,T. couchii,"N Fork Mokelumne, CA",5.9,,,0.86,0.835,0.848 ,3MU,0.000252933,0.855,99.12%,,0.051,0.005,CRF 2346,,
12.030,T. couchii,"N Fork Mokelumne, CA",5.9,,,0.86,0.835,0.848 ,5MU,0.000421555,1.509,56.16%,,0.084,0.005,CRF 2346,,
12.030,T. couchii,"N Fork Mokelumne, CA",5.9,,,0.86,0.835,0.848 ,10MU,0.00084311,1.98,42.80%,,0.169,0.005,CRF 2346,,
,,,,,,,,,,,,,,,,,,
 ID ,species,Locality,Mass,SVL,TL, Trial1 , Trial2 ,BASE,INJ #,TTX DOSE(mg),POST TIME,POST/BASE,1 MU/g,ml of Dilution,dilution,,MAMU @ 50%,
  15.22 ,couchii,"Canyon Cr., NV Co, CA",19.9,,,0.766,0.696,0.731 ,5MU,0.001421855,0.754,96.95%,,0.142,0.01,CRF2669,,
  15.22 ,couchii,"Canyon Cr., NV Co, CA",19.9,,,0.766,0.696,0.731 ,10MU,0.00284371,0.992,73.69%,,0.057,0.05,CRF2669,,
  15.22 ,couchii,"Canyon Cr., NV Co, CA",19.9,,,0.766,0.696,0.731 ,25MU,0.007109275,1.142,64.01%,,0.071,0.1,CRF2669,,
  15.22 ,couchii,"Canyon Cr., NV Co, CA",19.9,,,0.766,0.696,0.731 ,50MU,0.01421855,1.004,72.81%,,0.142,0.1,CRF2669,,
  15.22 ,couchii,"Canyon Cr., NV Co, CA",19.9,,,0.766,0.696,0.731 ,100MU,0.0284371,1.924,37.99%,,0.284,0.1,CRF2669,82.5,
  15.23 ,couchii,"Canyon Cr., NV Co, CA",7.2,,,0.79,0.963,0.877 ,5MU,0.00051444,0.891,98.37%,,0.103,0.005,CRF2670,,
  15.23 ,couchii,"Canyon Cr., NV Co, CA",7.2,,,0.79,0.963,0.877 ,10MU,0.00102888,0.989,88.62%,,0.103,0.01,CRF2670,,
  15.23 ,couchii,"Canyon Cr., NV Co, CA",7.2,,,0.79,0.963,0.877 ,25MU,0.0025722,1.072,81.76%,,0.051,0.05,CRF2670,,
  15.23 ,couchii,"Canyon Cr., NV Co, CA",7.2,,,0.79,0.963,0.877 ,50MU,0.0051444,0.833,105.22%,,0.051,0.1,CRF2670,,
  15.23 ,couchii,"Canyon Cr., NV Co, CA",7.2,,,0.79,0.963,0.877 ,100MU,0.0102888,4.124,21.25%,,0.103,0.1,CRF2670,82,
  15.24 ,couchii,"Canyon Cr., NV Co, CA",50.9,,,0.573,0.61,0.592 ,5MU,0.003636805,0.715,82.73%,,0.073,0.05,CRF2671,,
  15.24 ,couchii,"Canyon Cr., NV Co, CA",50.9,,,0.573,0.61,0.592 ,10MU,0.00727361,0.788,75.06%,,0.145,0.05,CRF2671,,
  15.24 ,couchii,"Canyon Cr., NV Co, CA",50.9,,,0.573,0.61,0.592 ,25MU,0.018184025,2.888,20.48%,,0.182,0.1,CRF2671,17,
  15.25 ,couchii,"Canyon Cr., NV Co, CA",10.8,,,0.701,0.621,0.661 ,5MU,0.00077166,0.771,85.73%,,0.077,0.01,CRF2672,,
  15.25 ,couchii,"Canyon Cr., NV Co, CA",10.8,,,0.701,0.621,0.661 ,10MU,0.00154332,0.954,69.29%,,0.154,0.01,CRF2672,,
  15.25 ,couchii,"Canyon Cr., NV Co, CA",10.8,,,0.701,0.621,0.661 ,25MU,0.0038583,1.026,64.42%,,0.077,0.05,CRF2672,,
  15.25 ,couchii,"Canyon Cr., NV Co, CA",10.8,,,0.701,0.621,0.661 ,50MU,0.0077166,4.78,13.83%,,0.077,0.1,CRF2672,32,
  15.26 ,couchii,"Canyon Cr., NV Co, CA",22.4,,,0.68,0.642,0.661 ,5MU,0.00160048,0.877,75.37%,,0.160,0.01,CRF2673,,
  15.26 ,couchii,"Canyon Cr., NV Co, CA",22.4,,,0.68,0.642,0.661 ,10MU,0.00320096,0.869,76.06%,,0.064,0.05,CRF2673,,
  15.26 ,couchii,"Canyon Cr., NV Co, CA",22.4,,,0.68,0.642,0.661 ,25MU,0.0080024,1.539,42.95%,,0.080,0.1,CRF2673,21.8,
  15.27 ,couchii,"Canyon Cr., NV Co, CA",5,,,0.926,0.86,0.893 ,5MU,0.00035725,0.966,92.44%,,0.071,0.005,CRF2674,,
  15.27 ,couchii,"Canyon Cr., NV Co, CA",5,,,0.926,0.86,0.893 ,10MU,0.0007145,1.269,70.37%,,0.071,0.01,CRF2674,,
  15.27 ,couchii,"Canyon Cr., NV Co, CA",5,,,0.926,0.86,0.893 ,25MU,0.00178625,1.997,44.72%,,0.036,0.05,CRF2674,21.9,
  15.28 ,couchii,"Canyon Cr., NV Co, CA",4.7,,,0.953,1.06,1.007 ,5MU,0.000335815,1.02,98.68%,,0.067,0.005,CRF2675,,
  15.28 ,couchii,"Canyon Cr., NV Co, CA",4.7,,,0.953,1.06,1.007 ,10MU,0.00067163,0.998,100.85%,,0.067,0.01,CRF2675,,
  15.28 ,couchii,"Canyon Cr., NV Co, CA",4.7,,,0.953,1.06,1.007 ,25MU,0.001679075,1.385,72.67%,,0.034,0.05,CRF2675,,
  15.28 ,couchii,"Canyon Cr., NV Co, CA",4.7,,,0.953,1.06,1.007 ,50MU,0.00335815,12.403,8.11%,,0.034,0.1,CRF2675,33.7,
  15.29 ,couchii,"Canyon Cr., NV Co, CA",20.6,,,0.722,0.659,0.691 ,5MU,0.00147187,0.751,91.94%,,0.147,0.01,CRF2676,,
  15.29 ,couchii,"Canyon Cr., NV Co, CA",20.6,,,0.722,0.659,0.691 ,10MU,0.00294374,0.837,82.50%,,0.059,0.05,CRF2676,,
  15.29 ,couchii,"Canyon Cr., NV Co, CA",20.6,,,0.722,0.659,0.691 ,25MU,0.00735935,1.762,39.19%,,0.074,0.1,CRF2676,21.3,
  15.30 ,couchii,"Canyon Cr., NV Co, CA",5.8,,,0.871,0.938,0.905 ,5MU,0.00041441,0.997,90.72%,,0.083,0.005,CRF2677,,
  15.30 ,couchii,"Canyon Cr., NV Co, CA",5.8,,,0.871,0.938,0.905 ,10MU,0.00082882,1.038,87.14%,,0.083,0.01,CRF2677,,
  15.30 ,couchii,"Canyon Cr., NV Co, CA",5.8,,,0.871,0.938,0.905 ,25MU,0.00207205,1.203,75.19%,,0.041,0.05,CRF2677,,
  15.30 ,couchii,"Canyon Cr., NV Co, CA",5.8,,,0.871,0.938,0.905 ,50MU,0.0041441,2.647,34.17%,,0.041,0.1,CRF2677,40.2,
  15.31 ,couchii,"Canyon Cr., NV Co, CA",15.8,,,0.739,0.708,0.724 ,5MU,0.00112891,0.761,95.07%,,0.113,0.01,CRF2678,,
  15.31 ,couchii,"Canyon Cr., NV Co, CA",15.8,,,0.739,0.708,0.724 ,10MU,0.00225782,1.141,63.41%,,0.045,0.05,CRF2678,,
  15.31 ,couchii,"Canyon Cr., NV Co, CA",15.8,,,0.739,0.708,0.724 ,25MU,0.00564455,1.286,56.26%,,0.056,0.1,CRF2678,,
  15.31 ,couchii,"Canyon Cr., NV Co, CA",15.8,,,0.739,0.708,0.724 ,50MU,0.0112891,1.704,42.46%,,0.113,0.1,CRF2678,36.5,
  15.32 ,couchii,"Canyon Cr., NV Co, CA",11.4,,,0.757,0.833,0.795 ,5MU,0.00081453,0.935,85.03%,,0.081,0.01,CRF2679,,
  15.32 ,couchii,"Canyon Cr., NV Co, CA",11.4,,,0.757,0.833,0.795 ,10MU,0.00162906,0.939,84.66%,,0.033,0.05,CRF2679,,
  15.32 ,couchii,"Canyon Cr., NV Co, CA",11.4,,,0.757,0.833,0.795 ,25MU,0.00407265,0.996,79.82%,,0.081,0.05,CRF2679,,
  15.32 ,couchii,"Canyon Cr., NV Co, CA",11.4,,,0.757,0.833,0.795 ,50MU,0.0081453,7.913,10.05%,,0.081,0.1,CRF2679,35.7,
  15.33 ,couchii,"Canyon Cr., NV Co, CA",7.9,,,0.829,0.756,0.793 ,5MU,0.000564455,0.917,86.42%,,0.056,0.01,CRF2680,,
  15.33 ,couchii,"Canyon Cr., NV Co, CA",7.9,,,0.829,0.756,0.793 ,10MU,0.00112891,1.468,53.99%,,0.113,0.01,CRF2680,,
  15.33 ,couchii,"Canyon Cr., NV Co, CA",7.9,,,0.829,0.756,0.793 ,25MU,0.002822275,1.419,55.85%,,0.056,0.05,CRF2680,,
  15.33 ,couchii,"Canyon Cr., NV Co, CA",7.9,,,0.829,0.756,0.793 ,50MU,0.00564455,1.702,46.56%,,0.056,0.1,CRF2680,40.8,
  15.34 ,couchii,"Canyon Cr., NV Co, CA",18.2,,,0.602,0.755,0.679 ,5MU,0.00130039,0.694,97.77%,,0.130,0.01,CRF2681,,
  15.34 ,couchii,"Canyon Cr., NV Co, CA",18.2,,,0.602,0.755,0.679 ,10MU,0.00260078,0.809,83.87%,,0.052,0.05,CRF2681,,
  15.34 ,couchii,"Canyon Cr., NV Co, CA",18.2,,,0.602,0.755,0.679 ,25MU,0.00650195,1.885,35.99%,,0.065,0.1,CRF2681,20.6,
  15.35 ,couchii,"Deep Cr., Fresno Co., CA",6.8,,,,1.049,1.049 ,25MU,0.0024293,,#DIV/0!,,0.049,0.05,CRF2630,,
  15.35 ,couchii,"Deep Cr., Fresno Co., CA",6.8,,,,1.049,1.049 ,50MU,0.0048586,,,,0.097,0.05,CRF2630,,
  15.35 ,couchii,"Deep Cr., Fresno Co., CA",6.8,,,,1.049,1.049 ,100MU,0.0097172,4.19,25.04%,,0.097,0.1,CRF2630,<100,
  15.36 ,couchii,"Deep Cr., Fresno Co., CA",22.8,,,0.84,,0.840 ,25MU,0.0081453,0.654,128.44%,,0.163,0.05,CRF2631,,
  15.36 ,couchii,"Deep Cr., Fresno Co., CA",22.8,,,0.84,,0.840 ,50MU,0.0162906,0.873,96.22%,,0.163,0.1,CRF2631,,
  15.36 ,couchii,"Deep Cr., Fresno Co., CA",22.8,,,0.84,,0.840 ,100MU,0.0325812,0.981,85.63%,,0.326,0.1,CRF2631,,
  15.36 ,couchii,"Deep Cr., Fresno Co., CA",22.8,,,0.84,,0.840 ,250MU,0.081453,4.944,16.99%,,0.815,0.1,CRF2631,175,
,,,,,,,,,,,,,,,,,,
  15.65 ,couchii,Alpine Co.,77,,,0.75,0.752,0.751 ,5MU,0.00550165,0.749,100.27%,,0.110,0.05,KDW598,,
  15.65 ,couchii,Alpine Co.,77,,,0.75,0.752,0.751 ,25MU,0.02750825,3.88,19.36%,,0.275,0.1,KDW598,17.4,
,,,,,,,,,,,,,,,,,,
 ID ,Collector ID,Species,Locality,,Mass,SVL,TL, Trial1 , Trial2 ,BASE,INJ #,TTX DOSE(mg),POST TIME,POST/BASE,1 MU/g,ml of Dilution,dilution,50%MAMU
  16.100 ,EJE 158,T. couchii,Nevada,Faucherie Lake Dam,56.8,,,0.946,0.72,0.833 ,5MAMU,0.00405836,1.301,64.03%,,0.081,0.05,8.6
  16.100 ,EJE 158,T. couchii,Nevada,Faucherie Lake Dam,56.8,,,0.946,0.72,0.833 ,10MAMU,0.00811672,1.864,44.69%,,0.081,0.1,
  16.101 ,EJE 159,T. couchii,Nevada,Faucherie Lake Dam,33.2,,,0.663,0.756,0.710 ,5MAMU,0.00237214,1.139,62.29%,,0.047,0.05,21.4
  16.101 ,EJE 159,T. couchii,Nevada,Faucherie Lake Dam,33.2,,,0.663,0.756,0.710 ,10MAMU,0.00474428,0.721,98.40%,,0.095,0.05,
  16.101 ,EJE 159,T. couchii,Nevada,Faucherie Lake Dam,33.2,,,0.663,0.756,0.710 ,25MAMU,0.0118607,2.037,34.83%,,0.119,0.1,
  16.102 ,EJE 160,T. couchii,Nevada,Faucherie Lake Dam,9.4,,,0.913,,0.913 ,5MAMU,0.00067163,1.889,48.33%,,0.013,0.05,21.7
  16.102 ,EJE 160,T. couchii,Nevada,Faucherie Lake Dam,9.4,,,0.913,,0.913 ,10MAMU,0.00134326,1.621,56.32%,,0.027,0.05,
  16.102 ,EJE 160,T. couchii,Nevada,Faucherie Lake Dam,9.4,,,0.913,,0.913 ,25MAMU,0.00335815,4.294,21.26%,,0.067,0.05,
  16.108 ,CRF 3063,T. couchii,Toulumne,Cherry Creek,89.2,,,0.865,,0.865 ,25MAMU,0.0318667,,#DIV/0!,,0.319,0.1,Gave Birth
  16.108 ,CRF 3063,T. couchii,Toulumne,Cherry Creek,89.2,,,0.865,,0.865 ,25MAMU,0.0318667,0.954,90.67%,,0.319,0.1,
  16.108 ,CRF 3063,T. couchii,Toulumne,Cherry Creek,89.2,,,0.865,,0.865 ,50MAMU,0.0637334,,#DIV/0!,,0.637,0.1,birth
  16.109 ,CRF 3064,T. couchii,Toulumne,Cherry Creek,48.8,,,0.706,0.796,0.751 ,25MAMU,0.0174338,1.183,63.48%,,0.174,0.1,69
  16.109 ,CRF 3064,T. couchii,Toulumne,Cherry Creek,48.8,,,0.706,0.796,0.751 ,50MAMU,0.0348676,1.036,72.49%,,0.349,0.1,
  16.109 ,CRF 3064,T. couchii,Toulumne,Cherry Creek,48.8,,,0.706,0.796,0.751 ,100MAMU,0.0697352,5.39,13.93%,,0.697,0.1,
  16.110 ,CRF 3065,T. couchii,Toulumne,Cherry Creek,59.4,,,0.702,0.867,0.785 ,25MAMU,0.02122065,1.023,76.69%,,0.212,0.1,85.3
  16.110 ,CRF 3065,T. couchii,Toulumne,Cherry Creek,59.4,,,0.702,0.867,0.785 ,50MAMU,0.0424413,0.825,95.09%,,0.424,0.1,
  16.110 ,CRF 3065,T. couchii,Toulumne,Cherry Creek,59.4,,,0.702,0.867,0.785 ,100MAMU,0.0848826,2.512,31.23%,,0.849,0.1,
  16.111 ,CRF 3066,T. couchii,Toulumne,Cherry Creek,62.7,,,0.731,,0.731 ,25MAMU,0.022399575,1.306,55.97%,,0.224,0.1,122.8
  16.111 ,CRF 3066,T. couchii,Toulumne,Cherry Creek,62.7,,,0.731,,0.731 ,50MAMU,0.04479915,1.325,55.17%,,0.448,0.1,
  16.111 ,CRF 3066,T. couchii,Toulumne,Cherry Creek,62.7,,,0.731,,0.731 ,100MAMU,0.0895983,1.27,57.56%,,0.896,0.1,
  16.112 ,CRF 3067,T. couchii,Toulumne,Cherry Creek,35.9,,,0.843,1.061,0.952 ,25MAMU,0.012825275,0.97,98.14%,,0.128,0.1,No Data
  16.112 ,CRF 3067,T. couchii,Toulumne,Cherry Creek,35.9,,,0.843,1.061,0.952 ,50MAMU,0.02565055,,#DIV/0!,,0.257,0.1,
  16.112 ,CRF 3067,T. couchii,Toulumne,Cherry Creek,35.9,,,0.843,1.061,0.952 ,50MAMU,0.02565055,,#DIV/0!,,0.257,0.1,
  16.113 ,CRF 3068,T. couchii,Toulumne,Cherry Creek,49,,,,,#DIV/0!,25MAMU,0.01750525,,#DIV/0!,,,,No Data
  16.114 ,CRF 3069,T. couchii,Toulumne,Cherry Creek,48.8,,,0.63,0.557,0.594 ,25MAMU,0.0174338,0.39,152.18%,,0.174,0.1,37.8
  16.114 ,CRF 3069,T. couchii,Toulumne,Cherry Creek,48.8,,,0.63,0.557,0.594 ,50MAMU,0.0348676,2.702,21.97%,,0.349,0.1,
  16.115 ,CRF 3070,T. couchii,Toulumne,Cherry Creek,41.5,,,0.932,0.902,0.917 ,25MAMU,0.014825875,1.21,75.79%,,0.148,0.1,58.8
  16.115 ,CRF 3070,T. couchii,Toulumne,Cherry Creek,41.5,,,0.932,0.902,0.917 ,50MAMU,0.02965175,1.575,58.22%,,0.297,0.1,
  16.115 ,CRF 3070,T. couchii,Toulumne,Cherry Creek,41.5,,,0.932,0.902,0.917 ,100MAMU,0.0593035,8.11,11.31%,,0.593,0.1,
  16.116 ,CRF 3071,T. couchii,Toulumne,Cherry Creek,56.1,,,,,#DIV/0!,25MAMU,0.020041725,,#DIV/0!,,,,No Data
  16.117 ,CRF 3072,T. couchii,Toulumne,Cherry Creek,48.9,,,0.82,0.653,0.737 ,25MAMU,0.017469525,1.284,57.36%,,0.175,0.1,82.9
  16.117 ,CRF 3072,T. couchii,Toulumne,Cherry Creek,48.9,,,0.82,0.653,0.737 ,50MAMU,0.03493905,0.892,82.57%,,0.349,0.1,
  16.117 ,CRF 3072,T. couchii,Toulumne,Cherry Creek,48.9,,,0.82,0.653,0.737 ,100MAMU,0.0698781,2.346,31.39%,,0.699,0.1,
  16.118 ,CRF 3073,T. couchii,Toulumne,Cherry Creek,42.1,,,,,#DIV/0!,25MAMU,0.015040225,,#DIV/0!,,,,No Data
  16.119 ,CRF 3074,T. couchii,Toulumne,Cherry Creek,25.8,,,0.977,,0.977 ,25MAMU,0.00921705,2.094,46.66%,,0.092,0.1,21.9
  16.119 ,CRF 3074,T. couchii,Toulumne,Cherry Creek,25.8,,,0.977,,0.977 ,10MAMU,0.00368682,1.57,62.23%,,0.074,0.05,
  16.68 ,CRF 3051,T. couchii,Lassen,Williams Creek,32.3,,,0.948,0.831,0.890 ,5MAMU,0.002307835,8.527,10.43%,,0.046,0.05,3.3
  16.68 ,CRF 3051,T. couchii,Lassen,Williams Creek,32.3,,,0.948,0.831,0.890 ,1MAMU,0.000461567,0.685,129.85%,,0.092,0.005,
  16.69 ,CRF 3052,T. couchii,Lassen,Williams Creek,9.9,,,0.855,0.801,0.828 ,5MAMU,0.000707355,6.095,13.58%,,0.014,0.05,3.3
  16.69 ,CRF 3052,T. couchii,Lassen,Williams Creek,9.9,,,0.855,0.801,0.828 ,1MAMU,0.000141471,0.75,110.40%,,0.028,0.005,
  16.70 ,CRF 3053,T. couchii,Lassen,Williams Creek,6.9,,,0.918,0.936,0.927 ,5MAMU,0.000493005,11.283,8.22%,,0.099,0.005,3.2
  16.70 ,CRF 3053,T. couchii,Lassen,Williams Creek,6.9,,,0.918,0.936,0.927 ,1MAMU,0.000098601,0.737,125.78%,,0.197,0.0005,
  16.71 ,CRF 3054,T. couchii,Lassen,Williams Creek,5.7,,,0.932,0.816,0.874 ,5MAMU,0.000407265,14.284,6.12%,,0.081,0.005,2.7
  16.71 ,CRF 3054,T. couchii,Lassen,Williams Creek,5.7,,,0.932,0.816,0.874 ,1MAMU,0.000081453,1.044,83.72%,,0.163,0.0005,
  16.72 ,CRF 3055,T. couchii,Lassen,Williams Creek,5.1,,,0.841,1.05,0.946 ,5MAMU,0.000364395,3,31.52%,,0.073,0.005,3.35
  16.72 ,CRF 3055,T. couchii,Lassen,Williams Creek,5.1,,,0.841,1.05,0.946 ,1MAMU,0.000072879,1.234,76.62%,,0.146,0.0005,
  16.73 ,CRF 3056,T. couchii,Lassen,Williams Creek,19.8,,,0.85,0.77,0.810 ,5MAMU,0.00141471,1.581,51.23%,,0.028,0.05,5
  16.73 ,CRF 3056,T. couchii,Lassen,Williams Creek,19.8,,,0.85,0.77,0.810 ,10MAMU,0.00282942,0.779,103.98%,,0.057,0.05,
  16.73 ,CRF 3056,T. couchii,Lassen,Williams Creek,19.8,,,0.85,0.77,0.810 ,1MAMU,0.000282942,0.814,99.51%,,0.057,0.005,
  16.74 ,CRF 3057,T. couchii,Lassen,Willard Creek,5.1,,,1.02,1.025,1.023 ,5MAMU,0.000364395,6.5,15.73%,,0.007,0.05,3.32
  16.74 ,CRF 3057,T. couchii,Lassen,Willard Creek,5.1,,,1.02,1.025,1.023 ,1MAMU,0.000072879,1.043,98.03%,,0.146,0.0005,
  16.75 ,CRF 3058,T. couchii,Lassen,Willard Creek,43.4,,,0.66,0.609,0.635 ,5MAMU,0.00310093,3.804,16.68%,,0.062,0.05,2.41
  16.75 ,CRF 3058,T. couchii,Lassen,Willard Creek,43.4,,,0.66,0.609,0.635 ,1MAMU,0.000620186,0.927,68.45%,,0.124,0.005,
  16.76 ,CRF 3059,T. couchii,Lassen,Willard Creek,47.9,,,0.531,0.549,0.540 ,5MAMU,0.003422455,2.008,26.89%,,0.068,0.05,0.1
  16.76 ,CRF 3059,T. couchii,Lassen,Willard Creek,47.9,,,0.531,0.549,0.540 ,1MAMU,0.000684491,0.71,76.06%,,0.137,0.005,
  16.77 ,CRF 3060,T. couchii,Lassen,Willard Creek,24.3,,,0.526,0.619,0.573 ,5MAMU,0.001736235,2.612,21.92%,,0.035,0.05,3.14
